year,run,forecast,estimate,error
2017,Kenai early,6526,7401,-875
2018,Kenai early,5499,3067,2432
2019,Kenai early,3168,4131,-963
2020,Kenai early,4794,2472,2322
2021,Kenai early,4391,4142,249
2022,Kenai early,4272,2052,2220
2023,Kenai early,2914,1975,939
2024,Kenai early,2630,1365,1265
2017,Kenai late,33613,30734,2879
2018,Kenai late,21508,18364,3144
2019,Kenai late,21746,13360,8386
2020,Kenai late,22707,12226,10481
2021,Kenai late,18406,12794,5612
2022,Kenai late,16004,14078,1926
2023,Kenai late,13630,14537,-907
2024,Kenai late,13639,6930,6709
2017,Deshka,17813,11752,-6061
2018,Deshka,10595,5319,-5276
2019,Deshka,8466,8894,428
2020,Deshka,10570,9057,-1513
2021,Deshka,11464,16612,5148
2022,Deshka,9332,4438,-4894
2023,Deshka,5324,2442,-2882
2024,Deshka,5034,1705,-3329
