byr,S,age5,age6,age7
1979,,,,3509
1980,,,31223,1096
1981,,34466,54140,12267
1982,,20592,55786,6107
1983,,2561,31748,1820
1984,,4716,27308,2432
1985,,3317,26351,1366
1986,49197,10505,42345,4096
1987,48096,7883,52445,3075
1988,42003,7969,49284,3584
1989,26852,6355,35162,503
1990,24496,10878,28967,934
1991,29076,15406,34629,1644
1992,37788,8581,34243,2564
1993,38346,6907,33713,1270
1994,31400,9640,29151,1465
1995,31022,12269,34240,2541
1996,30453,9280,44846,598
1997,24734,11467,54445,1643
1998,33381,17253,71803,4057
1999,28769,23730,67469,6140
2000,26331,14153,43686,5372
2001,27895,9983,27831,3936
2002,42940,13685,31914,1885
2003,51862,9305,23847,1742
2004,70617,5012,11689,883
2005,55764,9005,18543,1098
2006,40911,6943,12985,845
2007,31276,9914,10096,389
2008,30001,3555,7574,1381
2009,20807,4799,15924,1240
2010,13425,5788,12561,1271
2011,16541,11202,14961,145
2012,23427,14482,10572,710
2013,12719,7597,7173,400
2014,11584,5434,9065,503
2015,16857,2715,8332,1
2016,15652,3929,6952,1
2017,20583,7126,9322,
2018,17405,5214,,
2019,11709,,,
2020,11854,,,
2021,12238,,,
2022,13911,,,
2023,14502,,,
